name,number,arcana,suit,img,fortune_telling,keywords,Archetype,Hebrew Alphabet,Numerology,Elemental,Mythical/Spiritual,Questions to Ask,meanings.light,meanings.shadow,Astrology,Affirmation
Queen of Cups,13,Minor Arcana,Cups,c13.jpg,"['This card represents a woman with an emotional, deeply spiritual nature, likely born between June 11th and July 11th, who uses emotional and spiritual appeals to sway others to her point of view']","['insightfulness', 'spirituality', 'compassion', 'empathy', 'instinct']",,,,Water of Water.,,"['How do I handle strong emotions?', 'To what extent am I a victim of my own feelings?', 'How can I move from reflection to action?']","['Allowing yourself to be moved by the plight of others', 'Feeling strong emotions', 'Possessing unusual sympathy or empathy', 'Trusting your feelings to guide you', 'Calling on psychic abilities', 'Achieving unity with Spirit']","['Becoming so caught up in matters of Spirit, you become detached from the world', 'Allowing empathy to disable you (instead of inspire action)', 'Using psychic abilities to wield covert influence', 'Wallowing in emotionalism, sentiment, or self-pity']",,"""I choose to be enabled, not disabled, by my strong emotions."""
King of Cups,14,Minor Arcana,Cups,c14.jpg,"['This card represents an older man with a gentle, sensitive presence, likely born between February 9th and March 10th, who is known for his fairness and tolerance']","['wisdom', 'diplomacy', 'restraint', 'composure']",,,,Fire of Water.,,"['What wise person could be consulted for good advice?', ""How can I make sure I'm being as objective and fair as possible?"", 'To what extent am I capable of keeping a ""stiff upper lip?""']","['Keeping a stiff upper lip', 'Being brave and clear in the face of adverse circumstances', 'Sharing experience as a way of comforting others', 'Making fair and empathetic decisions', 'Honoring the spirit, not just the letter, of the law']","['Allowing yourself to become rigid and unemotional', 'Making unfair decisions based on a hidden agenda', 'Making decisions without regard for their emotional impact on others', 'Abusing spiritual authority', 'Using emotional or spiritual leverage to exercise unhealthy control over others']",,"""I strive to be stable and fair-minded."""
Ace of Swords,1,Minor Arcana,Swords,s01.jpg,"['The time to make a choice is now', 'Stop wavering and do what you know is best']","['logic', 'objectivity', 'intellect', 'choice']",,,"1 (The Origin: the starting point, the seed, opportunity)",,,"['If I made my decision purely based on reason and logic, what would my decision be?', 'What do I think about my own problem-solving ability?', 'Who can supply me with the pure and simple facts?']","['Making objective decisions', 'Applying logic', 'Reasoning your way out of a difficult situation', 'Solving puzzles', 'Thinking things through', 'Emphasizing the facts', 'Clearing your mind', 'Seeking clarity']","['Applying ruthless or twisted logic', 'Gloating over your own superior intellect', 'Using quick thinking to deceive or confuse others', 'Confusing snap judgments with quick thinking', 'Making decisions without thinking through consequences']","Libra, Aquarius, Gemini","""I take the time to think things through."""
Two of Swords,2,Minor Arcana,Swords,s02.jpg,"['Sometimes, the only way to win is to refuse to fight', ""You're stuck for now; let time pass before taking action""]","['denial', 'debate', 'impasse', 'truce']",,,"2 (The Other: duality, division, debate)",,,"['What information do I need to get past this impasse?', 'How can I get past being defensive and see the facts?', 'What viewpoints, other than my own, play a role in this situation?']","['Refusing to make a decision without getting the facts', 'Exploring both sides of an argument', 'Arguing passionately for what you believe in', 'Weighing the issues', 'Encouraging the open exchange of ideas', 'Discussing political or religious issues without getting ""hot under the collar""']","['Rejecting evidence that conflicts with dearly-held beliefs', 'Arguing with others just for the sake of doing so', 'Nit-picking', ""Putting off a decision because you're afraid to face the consequences"", 'Preventing others from getting the information they need to make good decisions']",Moon in Libra,"""I strive to see all sides of every issue."""
Three of Swords,3,Minor Arcana,Swords,s03.jpg,"['Breakups and infidelity abound', 'What hurts now, though, will turn out to be good for you later on']","['variance', 'difference', 'dissatisfaction', 'heartache', 'rejection']",,,"3 (The Result: expression, productivity, output)",,,"['How can I get past my depression?', 'To what extent are my emotions a matter of choice?', 'How can I learn from the mistakes of the past?']","['Being brave enough to see things as they really are', 'Exercising your critical eye', 'Being your own best critic', ""Acknowledging that things don't always turn out as planned"", 'Moving past heartbreak to embrace a painful truth']","['Wallowing in despair', 'Allowing yourself to be completely crushed by the thoughts, words, or deeds of another', 'Judging yourself too harshly', 'Holding yourself to an unrealistic standard of excellence', 'Wearing your heart on your sleeve while carrying a chip on your shoulder']",Saturn in Libra,"""I learn from failures and setbacks."""
Four of Swords,4,Minor Arcana,Swords,s04.jpg,"[""Don't make any decision now"", ""Wait, and you'll be glad you did""]","['meditation', 'contemplation', 'perspective', 'mindset']",,,"4 (The Status Quo: stability, equality, persistence)",,,"['How long has it been since you deliberately took a ""time out?""', 'How difficult is it for you to meditate?', 'What would happen if you simply refused to make a decision today?']","['Thinking over your plans before putting them into action', 'Pausing to meditate or clear your mind', 'Taking time to understand someone or something before criticizing it', 'Resting', 'Occupying your thoughts with a healthy distraction']","['Failing to think things through', 'Mistaking procrastination for thoughtfulness', 'Adopting a point of view and refusing to reconsider your conclusions, even when presented with refuting evidence', 'Allowing chaos and whimsy to dominate your thoughts']",Jupiter in Libra,"""I think before taking action."""
Five of Swords,5,Minor Arcana,Swords,s05.jpg,"['Someone is stealing from you, financially or romantically', 'Be wary of friends who talk behind your back']","['selfishness', 'hostility', 'irrationality', 'self-preservation']",,,"5 (The Catalyst: instability, resistance, confrontation)",,,"['How do I behave when I win? What does that say about me?', ""How can I do what's necessary without making others feel defeated?"", ""What's the difference between selfish action and acting in my own best interest?""]","['Acting in your own best interest', 'Choosing to stand up for yourself', 'Not backing down from disagreement and discord', 'Taking a stand', 'Refusing to go along with an unethical plan', 'Knowing when to bend the rules']","['Taking advantage of others', 'Intimidating others', 'Acting in an unethical manner', 'Picking fights', 'Using words to goad others into violence and irrationality', ""Ignoring rules you've agreed to abide by"", 'Looking out for yourself while allowing harm to come to others', 'Gloating over victory']",Venus in Aquarius,"""Even as I care for myself, I am mindful of the needs of others."""
Six of Swords,6,Minor Arcana,Swords,s06.jpg,"[""You'll soon go on a long journey over water"", 'Actions have unexpected consequences, so be prepared']","['adaptation', 'adjustments', 'science', 'travel']",,,"6 (The Adjustment: cooperation, collaboration, interaction)",,,"['What assumptions govern my thinking?', 'How willing am I to lend aid to others? To request it when I need it?', 'How prepared am I to deal with change? With unexpected outcomes?']","['Making the best of a bad situation', 'Recovering from defeat', 'Resetting expectations', 'Making allowances for unexpected circumstances', 'Helping others who find themselves in dire circumstances', 'Changing the way you see the world', 'Broadening your perspective through study or travel']","['Refusing to accept that things have changed', 'Playing the victim', 'Rejecting the idea that your actions have consequences', 'Applying scientific criteria to matters of faith, or confusing faith with science', 'Believing the whole world should be like your small corner of it']",Mercury in Aquarius,"""I keep an open mind."""
Seven of Swords,7,Minor Arcana,Swords,s07.jpg,"[""Don't assume people around you are worthy of your trust"", ""Ask for an accounting of where people have been, and what they've been doing""]","['dishonesty', 'presumption', 'sneakiness', 'assumptions']",,,"7 (The Motive: imagination, inner work, psychology)",,,"['What assumptions am I making?', 'How well-defined is my sense of ethics?', 'How should I respond when I know others are breaking the rules?']","[""Refusing to do something dishonest, even when there's no chance of ever being caught"", 'Handling a difficult situation with finesse', 'Pointing out assumptions', 'Acting ethically in public and in private', 'Living a life that is beyond reproach']","['Stealing or lying', 'Doing whatever you can get away with, simply because you can', 'Looking for a way around consequences', 'Justifying wicked behavior by focusing on the wickedness of others', 'Failing to examine your own motives and prejudices']",Moon in Aquarius,"""I hold myself to the highest ethical standards."""
Eight of Swords,8,Minor Arcana,Swords,s08.jpg,"['Get over playing the victim', 'Once you realize you are your own biggest obstacle, nothing can hold you back']","['restriction', 'limitation', 'confinement', 'helplessness']",,,"8 (The Action: movement, outer work, swiftness)",,,"[""Who's empowered to cut through the red tape?"", 'What, exactly, are the obstacles? What resources, exactly, are needed to move them?', 'To what extent is your powerlessness a matter of attitude?']","['Honoring limits', 'Respecting the rules', ""Deciding to go on a diet for your health's sake"", 'Recognizing you cannot always be in control', 'Identifying obstacles to further progress', 'Refusing to think about unhealthy or unethical options', 'Asking for assistance']","['Feeling trapped', 'Being lost in a maze of rules and regulations', 'Giving in to despair', 'Playing the victim', 'Allowing others to dictate what you can and cannot do', 'Being rendered helpless', 'Having very few options', 'Failing to look for a way out']",Jupiter in Gemini,"""I know my own limits."""
Nine of Swords,9,Minor Arcana,Swords,s09.jpg,"[""If you take the action you're considering now, you'll be sorry in the future""]","['remorse', 'worry', 'distraught', 'conclusion']",,,"9 (The Completion: fullness, readiness, ripeness)",,,"['What role does worry play in your current situation?', ""To what other ends might you devote the energy you're giving to anxiety?"", ""How can you know when it's time to stop thinking and start acting?""]","['Refusing to worry about what you cannot control', 'Rejecting anxiety', 'Judging your own performance with kindness and gentleness', 'Using meditation to quiet a troubled mind', 'Confronting nightmares and fears', 'Drawing a conclusion and putting an issue out of your mind']","['Torturing yourself with regrets', 'Second-guessing your every move', 'Beating yourself up for your mistakes', 'Depression', 'Obsessing on errors and overlooked details', 'Refusing to handle stress in healthy ways', 'Ruining your ability to appreciate the present by dwelling on the past', 'Debating irreversible decisions']",Mars in Gemini,"""I do not worry about what I cannot control."""
Ten of Swords,10,Minor Arcana,Swords,s10.jpg,"['Disaster', 'Put off plans and do not take action until omens are better']","['exhaustion', 'ruin', 'disaster', 'stamina', 'obsession']",,,"10 (The End: finality, completion, exhaustion)",,,"['What are the signs that the time for debate is over?', 'How can you tell when interest has given way to obsession?', 'When your own limits are reached, where can you turn for aid?']","[""Seeing the signs that you've reached your limits"", 'Paying attention to what your body is trying to tell you', 'Giving in to the need for rest and renewal', ""Acknowledging that you've hit bottom"", 'Committing to a turnaround', 'Knowing the worst is over']","['Accepting defeat prematurely', 'Driving yourself to total exhaustion, especially mentally', 'Experiencing a mental breakdown', 'Obsessing on a problem to the breaking point', 'Giving up', 'Refusing to move from thought to action', 'Deeply unhealthy thoughts']",Sun in Gemini,"""When my limits are exceeded, I take action on my own behalf."""
Page of Swords,11,Minor Arcana,Swords,s11.jpg,"['This card represents a young man or woman with an airy, intellectual demeanor, likely born a Capricorn, Aquarius, or Pisces, who wants to learn something new from you or have a discussion with you']","['student', 'apprentice', 'scholarship', 'information']",,,,Earth of Air.,,"['How comfortable are you with revealing your own ignorance?', 'What are the marks of a good student?', 'To what extent are you open to new information?']","['Pursuing a course of study', 'Asking good questions', 'Investing time in study and practice', 'Doing research', 'Making a habit of learning new things', 'Starting an investigation', 'Outlining what you need to know', 'Finding a mentor or teacher']","['Pretending to knowledge or sophistication you do not possess', 'Cheating on an exam', 'Feigning interest as a way of gaining favor', ""Considering only the evidence that supports conclusions you've already drawn"", 'Rejecting the wise counsel of experienced teachers']",,"""I am ready to make good decisions."""
Knight of Swords,12,Minor Arcana,Swords,s12.jpg,"['A blunder leads someone to say something he or she regrets', 'If this was you, be prepared to apologize and move on']","['bluntness', 'intelligence', 'incisiveness', 'investigation']",,,,Air of Air.,,"['What do I really need to know?', 'To what extent have I investigated the facts behind my situation?', 'How can I share what I know without alienating others?']","['Speaking your mind', 'Making your opinions known', 'Offering constructive criticism', 'Sharing your knowledge', 'Making insightful observations', 'Pinpointing the problem', 'Clarifying what others have said', 'Giving clear direction to others', 'Uncovering the truth']","['Stating your opinions as fact', 'Picking fights', 'Starting arguments', 'Using clever insults to undermine the confidence of others', 'Tossing reason out the window', 'Speaking without taking the feelings of others into account', 'Going on a witch hunt', 'Distorting evidence']",,"""I temper my insights with tact."""
Queen of Swords,13,Minor Arcana,Swords,s13.jpg,"['This card represents a woman with an artistic, intellectual nature, likely born between September 12th and October 12th, who uses clever, positive communication to sway others to her point of view']","['grace', 'skill', 'wit', 'charm', 'aptitude']",,,,Water of Air.,,"['What do I have a knack for? How might my special gift prove useful now?', 'To what extent am I capable of saying what needs to be said?', 'What is the best possible way to say what I want to say?']","['Exercising tact or using diplomacy', 'Defusing a tense situation', 'Knowing what to say and how to say it', 'Making others feel comfortable and confident', 'Bringing out the best in everyone', 'Having a way with words', 'Telling jokes', 'Possessing a knack for music, math, art, or science']","['Knowing exactly what to say to destroy another person', 'Withholding critical information', 'Using a barbed tongue to upset others', 'Employing sarcasm', 'Mimicking others unkindly', 'Making light of the less fortunate', 'Being disrespectful', ""Failing to use the talent you've been given""]",,"""I make the truth easier to hear."""
King of Swords,14,Minor Arcana,Swords,s14.jpg,"['This card represents an older man with an insightful, deliberate spirit, likely born between May 11th and June 10th, who is known for his integrity and sharp decision-making ability']","['genius', 'expertise', 'decision', 'verdict']",,,,Fire of Air.,,"['What would your decision be if you had to render a binding verdict right now?', 'How comfortable are you saying exactly what you mean? How often do you temper what you have to say for fear of offending others?', 'If you were to ask others, ""What\'s my area of expertise?"" what would they say?']","['Expressing yourself with firmness and authority', 'Rendering a final decision', 'Consulting an expert', 'Calling in advisors and consultants', 'Coming to a final conclusion', 'Reaching a beneficial agreement based on sound information']","['Insisting on having the last word', 'Flaunting your intellectual capability', 'Talking ""over the heads"" of others', 'Waffling on an important decision', 'Constantly changing your mind', 'Refusing to make choices that are in your own best interest', ""Wishing in vain you could take back what's been said""]",,"""My word is my bond."""
Ace of Wands,1,Minor Arcana,Wands,w01.jpg,"['Someone has the ""hots"" for you', 'A new job offer is coming your way', 'Walk softly, and carry a big stick']","['desire', 'inspiration', 'vision', 'creation', 'invention']",,,"1 (The Origin: the starting point, the seed, opportunity)",,,"['What do I really want, more than anything else?', 'What happens if I let this opportunity pass me by?', 'How clearly have I defined my directions, values, and goals?']","['Being inspired', 'Identifying an important goal', 'Being given the opportunity to do whatever you want to do', 'Giving or receiving direction', 'Seeing a solution', 'Creating something new', 'Being aroused, sexually or creatively']","['Failing to take advantage of a great opportunity', 'Being ineffectual or lazy', 'Making an inadequate effort', 'Working toward a goal, but lacking the resources or initiative to achieve success', 'Setting inappropriate goals', 'Failing to take a stand']","Aries, Leo, Sagittarius","""I jump at the opportunity to pursue my heart's desire."""
Two of Wands,2,Minor Arcana,Wands,w02.jpg,"['Beware false friends', ""Don't be mealy-mouthed; say what you think and do what you want to do""]","['conflict', 'decision', 'option', 'individuality']",,,"2 (The Other: division, debate, duality)",,,"['In a conflict, how do you decide who wins?', 'What values govern your decision-making process?', 'What choice will you make if you make no choice at all?']","['Having a choice', 'Offering or being offered an option', ""Seeing the value of another person's approach"", 'Understanding there\'s more than one way to ""skin a cat""', 'Successfully doing more than one thing at a time', 'Being empowered to make a choice']","['Misrepresenting your intentions', 'Doing one thing while desiring another', 'Changing course mid-stream for no good reason', 'Refusing to change your goal even when pursuing it no longer makes sense', 'Disregarding the input of others']",Mars in Aries,"""With my goals in mind, I make confident choices."""
Three of Wands,3,Minor Arcana,Wands,w03.jpg,"[""You'll be planning a trip soon"", 'Be on the lookout: your ship is coming in']","['implementation', 'action', 'exploration']",,,"3 (The Result: expression, productivity, output)",,,"['How can you make a habit of breaking your habits?', 'How can you be a decisive leader in this circumstance?', ""What's your action plan for the next week, month, year, or decade?""]","['Putting a plan into motion', 'Taking that critical first step', 'Making good things happen', 'Going beyond your limits', 'Blazing new trails', 'Hitting the ground running', 'Seeing your plans come to fruition']","['Procrastinating', 'Knowing what to do, but refusing to do it', 'Launching a project without a clear definition of who should do what', 'Rejecting an opportunity to try something new', 'Failing to finish what you start']",Sun in Aries,"""I take the steps necessary to put my plans in action."""
Four of Wands,4,Minor Arcana,Wands,w04.jpg,"['Someone is watching and evaluating your work', 'You may get a wedding invitation soon']","['celebration', 'jubilation', 'community', 'teamwork', 'completion']",,,"4 (The Status Quo: stability, equality, persistence)",,,"['To what extent am I doing my part?', 'What kind of recognition would be most meaningful?', 'How might a celebration now impact community morale?']","['Sharing in a great celebration', 'Sharing in a communal sense of achievement and success', 'Preparing for a party', 'Working together toward a common goal', 'Giving or winning awards']","['Keeping your nose to the grindstone', 'Recognizing good work by demanding more work', 'Failing to share in a group celebration', 'Allowing sour grapes to poison your moment in the sun', 'Refusing to do your part']",Venus in Aries,"""My contributions are worthy of celebration."""
Five of Wands,5,Minor Arcana,Wands,w05.jpg,"['Prepare for a fight with your best friend', ""Remember: once you let words loose, you can't take them back""]","['confrontation', 'disruption', 'distinction', 'objection', 'strife']",,,"5 (The Catalyst: instability, resistance, confrontation)",,,"['To what extent is your current issue worth fighting for?', 'What alternatives are there to outright conflict?', 'What happens in a ""fair fight?"" How can you keep this fight fair?']","['Calmly expressing a dissenting opinion', 'Allowing someone to use his or her own methods to get a job done', 'Opening the floor for discussion or debate', 'Comparing progress made so far to standards set earlier']","['Berating others for their ridiculous opinions', 'Picking fights', 'Offering destructive criticism', 'Baiting people with barbed remarks', 'Disrupting progress with an endless stream of pointless objections']",Saturn in Leo,"""I can express dissent in constructive ways."""
Six of Wands,6,Minor Arcana,Wands,w06.jpg,"['Someone is planning a party for you, but not everyone feels so good about your recent success', 'Watch out for envious friends']","['victory', 'achievement', 'success', 'triumph']",,,"6 (The Adjustment: cooperation, collaboration, interaction)",,,"['What kind of recognition do I crave? Why?', 'How freely do I praise the achievements of others?', 'What happens when the parade is over?']","['Outperforming your peers', 'Winning a competition', 'Being recognized as a capable person', 'Having your ""moment in the spotlight""', 'Being cheered on by the crowd', 'Getting an award', 'Earning the admiration of others', 'Telling someone, ""Good job!""']","['Being a bad winner', 'Allowing your achievements to inflate your ego', 'Looking down on people who seem less capable', 'Craving to be the center of attention', 'Giving or receiving insincere praise', 'Envying the achievements of others']",Jupiter in Leo,"""I value sincere praise."""
Seven of Wands,7,Minor Arcana,Wands,w07.jpg,"[""Don't be surprised by a personal attack"", 'Prepare to defend yourself or someone you love']","['bravery', 'resolve', 'determination']",,,"7 (The Motive: imagination, inner work, psychology)",,,"['When do you feel most threatened? When do you get defensive?', 'How capable are you of defending yourself?', 'What kinds of beliefs are worth defending?']","['Refusing to be silenced through fear or intimidation', 'Continuing a fight against all odds', 'Being fierce', 'Defending yourself against physical and emotional attacks', 'Refusing to put up with abuse', 'Clinging to your values despite all pressure to abandon them']","['Having a chip on your shoulder', 'Taking unnecessary risks as a means of proving your fearlessness', 'Looking for an opportunity to take offense', 'Responding to constructive criticism with defensiveness', 'Refusing to stand up for yourself and your beliefs']",Mars in Leo,"""I am willing to take a stand for what I believe in."""
Eight of Wands,8,Minor Arcana,Wands,w08.jpg,"['Watch for a surprising letter in the mail', 'Your whole world is about to be turned on its ear']","['speed', 'swiftness', 'responsiveness', 'change']",,,"8 (The Action: movement, outer work, swiftness)",,,"['How quickly to you adapt to change?', 'What would your response be to overwhelming, sudden change?', 'What changes are on your horizon? How well have you prepared for them?']","['Taking swift action', 'Moving forward with a plan as quickly as possible', 'Energizing yourself', 'Adapting to sudden changes', 'Taking setbacks in stride', 'Embracing the idea that nothing stays the same forever', 'Reacting quickly and appropriately to unforeseen problems']","['Giving in to panic', 'Running in circles and screaming', 'Insisting things must always stay the same', 'Stirring the pot just to see what will happen', 'Rushing others', ""Refusing to re-evaluate a schedule or program, even when it's clearly no longer appropriate""]",Mercury in Sagittarius,"""I adapt quickly to change."""
Nine of Wands,9,Minor Arcana,Wands,w09.jpg,"[""Don't relax yet; there's more to come"", ""The test you're facing now is happening for one reason: to show you who your real friends are""]","['toughness', 'persistence', 'stamina', 'loyalty', 'release']",,,"9 (The Completion: fullness, readiness, ripeness)",,,"['How do you cope when things get really tough?', 'When you get low, what encourages you to go on?', 'At what point should you be able to let this situation go?']","['Sticking with it for the duration', 'Fulfilling your promises and obligations', 'Bearing up under incredible duress', 'Dragging yourself across the finish line', 'Picking yourself up by your own bootstraps', 'Refusing to quit', 'Going as far as you can go and being satisfied with your performance']","['Making yourself a martyr', 'Abandoning your post', 'Giving up at the first sign of opposition', 'Being prevented from fulfilling an obligation', 'Failing to be dependable', 'Refusing to let something go that needs to be released', 'Beating a dead horse']",Moon in Sagittarius,"""When the going gets tough, I stay the course."""
Ten of Wands,10,Minor Arcana,Wands,w10.jpg,"[""You're worn out"", 'Back off, take a time out, and let someone else handle things for a while']","['exhaustion', 'resistance', 'burden', 'oppression']",,,"10 (The End: finality, completion, exhaustion)",,,"['How will you know when you reach the end of your rope?', 'How easily do you say no to new projects and requests?', 'What projects could you delegate...or eliminate?']","['Holding your own in extreme circumstances', 'Helping others carry their burdens', 'Coming to the aid of the oppressed', 'Knowing and being honest about your own limits', 'Recognizing when you are not well-suited for a particular task']","['Taking on more work than you know you can handle', 'Refusing to say ""No"" when you\'re already overloaded', 'Making a habit of working overtime', 'Shielding others from facing the consequences of their own poor judgment', 'Over-extending yourself on a regular basis']",Saturn in Sagittarius,"""I respect my own limits."""
Page of Wands,11,Minor Arcana,Wands,w11.jpg,"['This card represents a young man or woman with a fiery, enthusiastic demeanor, likely born a Cancer, Leo, or Virgo, who wants to start a new relationship with you']","['enthusiasm', 'eagerness', 'confidence', 'validation', 'affirmation']",,,,Earth of Fire.,,"['How easily do you admit your own inexperience?', 'How can you be a better student or employee?', ""What qualities would make a total beginner's voyage of discovery easier?""]","['Leaping at a new opportunity', 'Being a cheerleader or ardent advocate for your cause', 'Being a True Believer', 'Taking first steps toward independence', 'Trusting in your own abilities', 'Asking for feedback']","['Basing your entire self-image on what others think', 'Seizing every new idea that comes your way without question', 'Habitually discounting input or feedback from others', 'Being so eager to ""do it yourself"" that you hinder your own progress']",,"""I can do this."""
Knight of Wands,12,Minor Arcana,Wands,w12.jpg,"['This card represents a man with a bold, passionate personality, likely born between July 12th and August 11th, who wants to sweep you off your feet']","['boldness', 'bravado', 'passion', 'persuasion', 'advocacy']",,,,Air of Fire.,,"['To what extent have you defined your ultimate goal?', ""What's the fastest way to get the job done? Is this necessarily the best way?"", 'How long has it been since you looked back to see if others really are following your lead?']","['Charging ahead', 'Making rapid progress', 'Refusing limits', 'Dazzling those around you with your wit and charm', 'Convincing others of your right to leadership', 'Convincing others to follow you', 'Being a catalyst for change']","['Blundering forward with inadequate skill or information', 'Running roughshod over the feelings of others', 'Using sex appeal to manipulate others', 'Forcing your leadership or ideology on others', 'Beginning many projects without finishing any']",,"""I can lead the way to success."""
Queen of Wands,13,Minor Arcana,Wands,w13.jpg,"['This card represents a woman with an attractive, appealing personality, likely born between March 11th and April 20th, who wants to charm you into doing things her way']","['attention', 'attraction', 'unification', 'collaboration']",,,,Water of Fire.,,"['How attentive am I?', ""How can I draw people's attention to what we have in common?"", 'To what extent am I able to convince people to do what I want them to do?']","['Paying close attention', 'Helping others focus on the issue at hand', 'Getting everyone to work together', 'Identifying common ground', 'Bringing people together, despite their differences', 'Using reverse psychology']","['Being distracted, or using your charms or skills to distract others from the goal', 'Calling attention to yourself with negative or unhealthy behaviors', 'Disrupting group activities as a means of feeding your own ego']",,"""I use my influence to promote unity."""
King of Wands,14,Minor Arcana,Wands,w14.jpg,"['This card represents an older man with a commanding, charismatic personality, likely born between November 13th and December 12th, who prefers to give directions and have them followed']","['creativity', 'ingenuity', 'achievement', 'direction']",,,,Fire of Fire,,"['How confident a leader am I?', 'How can I project more confidence?', 'How can I offer my expertise in ways that inspire others to follow me?']","['Putting old things together in new and exciting ways', 'Coming up with unexpected solutions', 'Using your experience to solve puzzles and problems', 'Doing what you set out to do', 'Directing the efforts of others']","['Using your creativity to get out of honest work', 'Investing great energy in avoiding responsibility', 'Boasting about achievements without putting your expertise to practical use', 'Lording it over others']",,"""I use my authority and experience to get things done faster."""
Ace of Pentacles,1,Minor Arcana,Pentacles,p01.jpg,"['Your health will improve', ""The check you're looking for really is in the mail""]","['health', 'wealth', 'practicality', 'receiving']",,,"1 (The Origin: the starting point, the seed, opportunity)",,,"['If I made my decision based solely on practical concerns, what would my decision be?', 'What resources are available to me?', 'What will be the physical and financial impact of my decisions?']","['Outlining a plan for achieving prosperity', 'Becoming aware of opportunities to improve income or health', 'Realizing you have everything you need', 'Appreciating everything the Universe has given you', 'Receiving the perfect gift at the perfect time']","['Indulging in relentless consumerism', 'Wanting more, no matter how much you have', 'Obsessing on your account balance', 'Suffering from hypochondria', 'Consuming blessings without expressing gratitude', 'Taking what you want without concern for the needs of others']","Capricorn, Taurus, Virgo","""I am open to and thankful for my blessings."""
Two of Pentacles,2,Minor Arcana,Pentacles,p02.jpg,"[""It's time to balance the budget"", 'Avoid the temptation to spend critical funds on frivolous goods']","['evaluation', 'decision', 'budgeting', 'diagnosis']",,,"2 (The Other: duality, division, debate)",,,"['What values govern my decisions?', 'How willing am I to sacrifice a little pleasure now in order to have more pleasure later on?', 'Given my current situation, which course of action will give me more of what I really need?']","['Weighing options', 'Comparing prices', 'Determining the value of one option over another', 'Juggling resources to make ends meet', ""Making difficult choices based on what's best for your body or your bankbook"", 'Looking at the bottom line', 'Asking for a second opinion on health issues']","['Engaging in endless price comparison', 'Putting off a buying decision for fear of finding a slightly better value later on', 'Buying something without regard for value', 'Breaking your budget with unnecessary expenses', 'Engaging in behavior with no regard for how your body or bankbook will be impacted']",Jupiter in Capricorn,"""Before taking action, I consider costs."""
Three of Pentacles,3,Minor Arcana,Pentacles,p03.jpg,"['A high-dollar contract is in your future', ""If you work hard, you'll succeed""]","['expression', 'production', 'work', 'contribution']",,,"3 (The Result: expression, productivity, output)",,,"['How can I get more done?', ""What's expected of me? How large a role do I play in controlling those expectations?"", ""What's been agreed to? How well has that agreement been followed?""]","['Finishing a project', 'Setting and meeting standards', 'Performing according to specifications', 'Making something others value', 'Creating something new', 'Doing your part in a group project', 'Delivering exactly what others have asked for']","['Pandering to the tastes of others', ""Failing to deliver what you've promised"", 'Not delivering your best work unless closely supervised', 'Ignoring or breaking agreements with those who have invested in you', 'Refusing to do your part', 'Failing to abide by a clearly-outlined agreement with yourself or others']",Mars in Capricorn,"""My work produces results."""
Four of Pentacles,4,Minor Arcana,Pentacles,p04.jpg,"[""A rainy day is coming—it's time to save""]","['protection', 'conservation', 'preservation', 'safety']",,,"4 (The Status Quo: stability, equality, persistence)",,,"['What factors determine how conservative or generous you are?', 'What kinds of things must be preserved at all costs?', 'When is greediness or stinginess a good trait to have? When might generosity work against you?']","['Saving for a rainy day', 'Fasting as part of a spiritual practice', 'Dieting in an effort to improve your body', 'Abstaining from sex as a way of honoring a spiritual tradition or personal promise', 'Being financially conservative', 'Establishing a trust fund', 'Opening a savings account']","['Being stingy', 'Refusing to spend money that needs to be spent', 'Withholding sex from your partner', 'Taking care of your own needs exclusively, without regard for the needs of others', 'Spending a dollar to save a penny', ""Failing to be a good manager of the blessings you've been given""]",Sun in Capricorn,"""I use my resources wisely."""
Five of Pentacles,5,Minor Arcana,Pentacles,p05.jpg,"['Finances are getting tighter', 'Prepare for a setback']","['poverty', 'destitution', 'need', 'crisis']",,,"5 (The Catalyst: instability, resistance, confrontation)",,,"['What critical resources do I lack?', 'What people or groups would come to my aid if I asked?', 'How might an impoverished spirit be impacting my physical or financial condition?']","['Recognizing your needs and taking action to fulfill them', 'Doing as much as you can do with what little you have', 'Admitting you need help', 'Embracing the aid that comes your way', ""Focusing on what you have versus what you don't"", 'Looking for the light at the end of the tunnel']","['Exaggerating your financial or physical needs', 'Adopting a poverty mentality', 'Refusing to support yourself', 'Refusing offers of support', 'Playing the martyr', 'Turning down opportunities to improve your health or finances', 'Wallowing in misery']",Mercury in Taurus,"""I have faith that what I need will appear."""
Six of Pentacles,6,Minor Arcana,Pentacles,p06.jpg,"['When you need help, ask for it', ""Remember, though: what you receive may be limited by what you've given to others in the past""]","['charity', 'fairness', 'cooperation', 'sharing']",,,"6 (The Adjustment: cooperation, collaboration, interaction)",,,"['How do I feel about charity? About giving it? About receiving it?', ""How can I know if I'm treating others fairly?"", 'What could I give that no one else can?']","['Giving time, money, or effort to a charity', 'Taking part in a group effort', 'Lending your resources to others without expecting anything in return', 'Making sure everyone is treated equally', 'Working together toward a common goal', 'Redistributing wealth, time, or attention', 'Tithing', 'Sharing credit for your success']","['Making a loan as a means of gaining control over someone', 'Using charitable acts to draw attention to yourself', 'Dividing work or resources unfairly', 'Failing to do your part in a group effort', 'Ignoring obligations and commitments']",Moon in Taurus,"""Knowing I will receive more, I share my resources freely."""
